_id,title,slug,categoryKey,description,synonyms,exampleQueries,priority,isActive,showInNav,order
"9b17cd94-c5d1-4146-b8b5-39d8dc1a44b2","Accounting & Tax","accounting-tax","accounting_tax","Accounting, bookkeeping, and tax tools supporting broker businesses.","accounting software|tax tools|bookkeeping|bas reporting","accounting tools for brokers|tax software","70","true","false","7"
"e61b9a73-c187-4a0b-bcd5-787388f0fb59","Data & Reporting","data-reporting","data_reporting","Reporting, dashboards, analytics, and data visibility tools.","reporting tools|analytics|dashboards|data insights","broker reporting tools|loan analytics software","78","true","false","13"
"39331134-844c-4bd6-a488-1a5aec431428","Mindset & Performance","mindset-performance","mindset_performance","Mindset, performance, and personal development tools and coaching.","performance coaching|mindset coaching|personal development","broker mindset coaching|performance training","60","true","false","18"
"a28b3a3a-260a-470e-afbf-7687eb5a6ca0","Mortgage Software","mortgage-software","mortgage_software","Software built specifically for mortgage brokers to manage loans, lenders, and workflows.","mortgage crm|loan software|home loan systems|broker software","mortgage broker software|home loan crm","95","true","false","3"
"db6cc298-9d01-4e4c-acb7-b739d29848e3","CRM & Document Collection","crm-document-collection","crm_document_collection","CRMs and tools that capture client data, manage fact finds, and collect documents securely.","crm|fact find|client onboarding|document collection|client intake","crm for brokers|fact find software|client onboarding tools","92","true","true","6"
"f039e340-8642-4762-afd5-d7860e228676","Commercial Software","commercial-software","commercial_software","Tools for commercial lending, business finance, and complex deal structuring.","commercial lending software|business loan tools|commercial finance systems","commercial finance software|business lending platforms","85","true","false","5"
"34af95e8-e4ac-4357-9dcb-341da1157359","Finance Strategy & Virtual CFO","finance-strategy-virtual-cfo","finance_strategy_virtual_cfo","Strategic finance advice, forecasting, and virtual CFO services.","virtual cfo|financial strategy|business finance","virtual cfo for brokers|finance strategy services","72","true","false","14"
"63209fd4-4eca-4a4d-85a3-f433226c6803","Compliance, Risk & Legal","compliance-risk-legal","compliance_risk_legal","Compliance, legal, and risk management tools for regulated broker environments.","compliance software|risk management|legal tools","broker compliance tools|risk management software","88","true","false","12"
"964d7a94-fb39-4300-a18c-39d92739b372","Brand & Media","brand-media","brand_media","Branding, content creation, video, podcasting, and media production services.","branding|content creation|video production|podcasting","broker branding|content marketing services","60","true","false","9"
"a6bcf371-5e73-4bd2-bb90-2a2163104c34","Marketing Automation","marketing-automation","marketing_automation","Automation tools for marketing, follow-ups, campaigns, and lead nurturing.","email automation|crm automation|lead nurturing","marketing automation tools|email automation software","78","true","true","17"
