_id,title,slug,tagline,category,brokerType,serviceArea,description,features,pricingModel,websiteURL,metaDescription,synonyms,image1_alt,image1_isLogo
"b1a983b2-2563-4db9-8f6c-8bdda4519dd3","Fiverr","fiverr","Freelance services for the lean entrepreneur","Outsourcing & Staffing","Mortgage|Asset|Commercial","Outsourcing & Staffing|Marketing & Lead Generation|AI & Intelligent Automation","Global freelance marketplace for digital services including design, development, marketing, automation and AI setup","Freelance marketplace (core)|fixed-price gigs (core)|milestones (core)|reviews (core)","Pay-as-you-go","https://go.fiverr.com/visit/?bta=34701&brand=fiverrmarketplace","freelancers, outsourcing platform, gig economy, digital services","","Fiverr logo","true"
"b555da45-af7e-4ead-86b8-1fd173f8a796","HubSpot","hubspot","All-in-one CRM, marketing & sales","Technology & Systems","Mortgage|Asset|Commercial","CRM Design & Architecture|Deal & Lead Management|Marketing Automation|Data, Analytics & Reporting","CRM platform with marketing, sales and service hubs for SMEs and enterprises","Contact management (core)|pipelines (core)|reporting (core)","Freemium + Subscription","https://hubspot.com","Enterprise-grade CRM and marketing platform supporting complex sales, automation and reporting workflows.","CRM platform|marketing automation|sales CRM","HubSpot logo","true"
"838f04c8-2ba2-47fe-a426-ccaf6533380c","Monday.com","monday.com","Work OS for teams & projects","Operations, AI & Workflow","Mortgage|Asset|Commercial","Project Management|Team Task Management|Workflow Design|Process Automation|Data, Analytics & Reporting","Visual work management platform for projects, pipelines and operations","Boards (core)|automations (core)|dashboards (core)","Subscription","https://monday.com","Configurable work OS enabling teams to manage projects, workflows and operational processes.","work management platform|workflow OS|project dashboards","Monday logo","true"
"ac17773e-baa9-4368-8dba-811de5614158","MailerLite","mailerlite","Simple email marketing done right","Marketing & Lead Generation","Mortgage|Asset|Commercial","Email Marketing|Marketing Automation|Lead Capture & Nurture|Funnels & Landing Pages","Lightweight email and landing page platform for small businesses","Campaigns (core)|automations (core)|landing pages (core)|popups (core)","Freemium + Subscription","https://www.mailerlite.com","Simple email marketing and landing page platform designed for small teams and growing businesses.","email automation|landing pages|lightweight email tool","MailerLite logo","true"
"473d8126-4e74-41f9-b0ce-e05377f18361","Acuity Scheduling","acuity-scheduling","Client-facing booking for businesses","Sales & Client Onboarding","Mortgage|Asset|Commercial","Calendar Sync|Lead Capture & Nurture|Funnels & Landing Pages|Conversion Rate Optimisation (CRO)","Advanced scheduling and intake platform","Intake forms (core)|payments (core)|reminders (core)","Subscription","https://acuityscheduling.com","Client booking and intake platform for service-based businesses.","client scheduling|intake forms|appointment payments","Acuity logo","true"
"7908ceac-8c32-4daf-875e-87b5fc46067c","Google Forms","google-forms","Free forms in your Google account","Sales & Client Onboarding","Mortgage|Asset|Commercial","Lead Capture & Nurture|Smart Form Builders|Document Collection & Verification","Simple form and survey builder","Surveys (core)|file uploads (core)","Free","https://forms.google.com","Free form and survey tool integrated with Google Workspace.","free forms|google surveys|data collection","Google Forms logo","true"
"8db64bea-2c3a-4d43-9f29-3b8c6f7f7eed","Sherlok","sherlok","AI-powered broker retention engine","Client Retention & Education","Mortgage","Client Retention & Education|Data, Analytics & Reporting|AI & Intelligent Automation|Loan Processing Systems","Australian broker platform that scans loan books to identify refinance & repricing opportunities before churn occurs","Refinance triggers (core)|client alerts (core)|lender comparisons (core)|retention scoring (core)","Subscription","https://sherlok.com.au","AI-driven loan book monitoring software that helps mortgage brokers reduce churn by identifying refinance and repricing opportunities early.","broker retention software|refinance alerts|loan book analytics|churn prevention","Sherlok logo","true"
"af5cb01a-6d78-47fd-8a94-08752459d31b","Broker Engine","broker-engine","Systemise your mortgage business","Sales & Client Onboarding","Mortgage","Deal & Lead Management|Workflow Design|Process Automation|Project Management|Data, Analytics & Reporting","Workflow, tasking and revenue management platform for mortgage brokerages","Deal workflows (core)|commission tracking (core)|tasking (core)","Subscription","https://brokerengine.com.au","Workflow and revenue management software helping mortgage brokerages systemise operations and track performance.","broker workflow software|mortgage operations platform|commission tracking","Broker Engine logo","true"
"f72eaede-502b-4937-a6fd-eace3b15e592","Mailparser","mailparser","Parse data from incoming emails","Operations, AI & Workflow","Mortgage|Asset|Commercial","AI & Intelligent Automation|Process Automation|System Integrations & APIs|Data Sync & Webhooks","Extracts structured data from email bodies and attachments into spreadsheets or apps","Custom parsers (core)|attachment OCR (core)|exports (core)","Subscription","https://mailparser.io","Email parsing automation tool that converts incoming emails and attachments into structured data for workflows.","email parsing|automation middleware|data extraction tool","Mailparser logo","true"
"e2d1505f-a920-4837-a636-494158bf6084","SmartLead","smart-leads","Multi-channel outbound platform","Marketing & Lead Generation","Mortgage|Asset|Commercial","Email Marketing|Marketing Automation|Lead Capture & Nurture","Outbound email platform with mailbox management and routing","Mailbox pools (core)|sequences (core)|reporting (core)","Subscription","https://smartlead.ai","Outbound email automation platform built for scaling cold email safely and efficiently.","outbound email|cold outreach|email automation","SmartLead logo","true"
