_id,title,slug,summary,publishedAt,author,categories,heroImage
"a950172d-ec50-4f47-9dda-7abfea12cea9","First Blog Post","first-blog-post","Test Summary Content","2025-11-25T03:28:00.000Z","5351f1f1-b151-4d65-8395-21b4879228bf","439ced47-b17c-460d-b0c1-a1b09d265c0d",""
"7cab6374-9d1e-4715-a305-23bb14e05948","Content Ideas Brokers Can Post on Social Media","broker-social-content-ideas","Simple, effective content ideas any mortgage broker can use on Instagram, LinkedIn, or TikTok.","2025-01-22T09:30:00Z","","",""
"761a9b2e-9d07-44bc-84b5-ee0db412e025","The 2025 Broker Tech Stack Every Adviser Should Use","2025-broker-tech-stack","A practical breakdown of the must-have CRM, AI, and automation tools every mortgage broker should have in 2025.","2025-01-10T10:00:00Z","","",""
"7cac9ad0-affa-4d92-8e3a-496d33fb7f27","Why Brokers Should Use Video in 2025","brokers-should-use-video","Video builds trust faster than any other medium for finance professionals.","2025-01-26T10:15:00Z","","",""
"6e95a667-6a97-4ecc-9af5-b4949aa75c4e","The Importance of a Broker Website in 2025","broker-website-2025","A strong website is the cornerstone of digital trust for brokers in 2025.","2025-01-28T16:00:00Z","","",""
"58dddcfa-3394-46f6-894c-76945af3b622","Why Every Broker Needs a Lead Nurturing System","lead-nurturing-system","Most brokers lose deals not because of competition, but because of lack of consistent follow-up.","2025-01-16T08:00:00Z","","",""
"5b19d189-dd31-4a0e-b9d9-c872fc934b9e","Top 10 Automations Every Broker Should Set Up","top-10-automations","These 10 automations save brokers hours each week and reduce human error.","2025-01-20T15:00:00Z","","",""
"c5d39428-75cd-4fee-93a7-1725a84b28c9","The Best CRMs for Mortgage Brokers in Australia (2025 Edition)","best-crms-australia-2025","A comparison of the top CRM platforms brokers rely on in 2025: Salestrekker, Pipedrive, HubSpot, and Monday.com.","2025-01-14T13:00:00Z","5351f1f1-b151-4d65-8395-21b4879228bf","b8578c0d-f677-499a-a862-85d986090d1b",""
"0bda3fe4-55c6-4acf-a10a-2bd816671dbf","How to Improve Client Communication as a Broker","improve-client-communication","Communication is the #1 reason clients choose one broker over another.","2025-01-24T14:00:00Z","","",""
"9326709a-e512-450b-8463-ba80f6d5f5b3","What Clients Really Want From a Mortgage Broker (2025 Data)","what-clients-want-2025","Recent Australian consumer data shows brokers win deals with speed, transparency, and proactive communication.","2025-01-18T11:00:00Z","88b22405-77ad-414f-853f-393cfa0df47b","7fae197f-cd87-4bea-a70e-8ee35ca58ca6",""
"ba3fa0f9-232d-41b4-b2d8-6eced4e93575","How Brokers Can Use AI to Reduce Admin by 50%","ai-to-reduce-admin","AI tools now automate emails, data entry, fact-finding, document collection, and client nurturing for brokers.","2025-01-12T09:00:00Z","88b22405-77ad-414f-853f-393cfa0df47b","439ced47-b17c-460d-b0c1-a1b09d265c0d",""
