_id,title,slug,description,category,synonyms
"feature-backups-recovery","Backups & Recovery","backups-recovery","","featureCategory-platform-infrastructure",""
"feature-deployment-model","Deployment Model","deployment-model","","featureCategory-platform-infrastructure",""
"feature-email-marketing","Email Marketing","email-marketing","","featureCategory-marketing-channels",""
"feature-attribution-tools","Attribution Tools","attribution-tools","","featureCategory-marketing-channels",""
"feature-cloud-hosting","Cloud Hosting","cloud-hosting","","featureCategory-platform-infrastructure",""
"feature-scalability","Scalability","scalability","","featureCategory-platform-infrastructure",""
"feature-social-media-integrations","Social Media Integrations","social-media-integrations","","featureCategory-marketing-channels",""
"feature-analytics-channels","Analytics Channels","analytics-channels","","featureCategory-marketing-channels",""
"feature-whiteboards-visual-collaboration","Whiteboards / Visual Collaboration","whiteboards-visual-collaboration","","featureCategory-communication-collaboration",""
"feature-ai-content-generation","AI Content Generation","ai-content-generation","","featureCategory-ai-intelligence",""
"feature-soc-2-iso","SOC 2 / ISO","soc-2-iso","","featureCategory-security-compliance",""
"feature-compliance-controls","Compliance Controls","compliance-controls","","featureCategory-security-compliance",""
"feature-performance-tracking","Performance Tracking","performance-tracking","","featureCategory-data-insights-reporting",""
"feature-data-encryption","Data Encryption","data-encryption","","featureCategory-security-compliance",""
"feature-ads-platforms","Ads Platforms","ads-platforms","","featureCategory-marketing-channels",""
"feature-internal-chat-messaging","Internal Chat / Messaging","internal-chat-messaging","","featureCategory-communication-collaboration",""
"feature-notifications","Notifications","notifications","","featureCategory-communication-collaboration",""
"feature-ai-assistants","AI Assistants","ai-assistants","","featureCategory-ai-intelligence",""
"feature-uptime-reliability","Uptime / Reliability","uptime-reliability","","featureCategory-platform-infrastructure",""
"feature-sso-mfa","SSO / MFA","sso-mfa","","featureCategory-security-compliance",""
"feature-role-based-access","Role-based Access","role-based-access","","featureCategory-security-compliance",""
"feature-ai-recommendations","AI Recommendations","ai-recommendations","","featureCategory-ai-intelligence",""
"feature-analytics","Analytics","analytics","","featureCategory-data-insights-reporting",""
"feature-native-integrations","Native Integrations","native-integrations","","featureCategory-integrations-apis",""
"feature-audit-logs","Audit Logs","audit-logs","","featureCategory-security-compliance",""
