_id,title,slug,description,icon
"serviceAreas-marketing-automation","Marketing Automation","marketing-automation","Lead nurturing, campaign automation, database reactivation and messaging systems.","mail"
"serviceAreas-system-integrations","System Integrations","system-integrations","Connecting software tools via APIs, Zapier, Make or custom integrations.","plug"
"serviceAreas-copywriting-storytelling","Copywriting & Storytelling","copywriting-storytelling","Sales copy, brand story and customer-focused messaging.","pen-tool"
"serviceAreas-workflow-mapping","Workflow Mapping","workflow-mapping","Mapping step-by-step business operational workflows.","git-branch"
"serviceAreas-culture-building","Culture Building","culture-building","Values, culture and team engagement.","heart-handshake"
"serviceAreas-reporting-dashboards","Reporting & Dashboards","reporting-dashboards","Business intelligence, reporting and performance dashboards.","bar-chart"
"serviceAreas-process-automation","Process Automation","process-automation","Automating manual business processes.","cpu"
"serviceAreas-credit-assessments","Credit Assessments","credit-assessments","Serviceability, risk analysis and applications prep.","file-check"
"serviceAreas-deal-packaging","Deal Packaging","deal-packaging","Preparing full submissions for lenders.","package"
"serviceAreas-data-analytics","Data & Analytics","data-analytics","Data tracking, attribution, reporting pipelines and performance insights.","activity"
"serviceAreas-performance-management","Performance Management","performance-management","Team accountability and performance systems.","gauge"
"serviceAreas-mobile-app","Mobile App","mobile-app","Native or hybrid mobile application for iOS and Android.","smartphone"
"serviceAreas-no-code-landing-page-builder","Landing Page Builder (No-Code)","no-code-landing-page-builder","No-code landing page builders for fast campaign launches without developers.","zap"
"serviceAreas-opportunity-pipeline-management","Opportunity & Pipeline Management","opportunity-pipeline-management","Visual deal stages, pipeline health and revenue forecasting.","kanban"
"serviceAreas-smart-task-automation","Smart Task Automation","smart-task-automation","Rule-based task creation and internal workflow triggers.","cpu"
"serviceAreas-local-seo","Local SEO","local-seo","Optimisation for Google Business Profiles and local search results.","map-pin"
"serviceAreas-content-marketing","Content Marketing","content-marketing","Blog content, guides, educational media and organic marketing assets.","file-text"
"serviceAreas-sop-documentation","SOP Creation & Documentation","sop-documentation","Creating standard operating procedures and documentation.","clipboard"
"serviceAreas-broker-operations-support","Broker Operations Support","broker-operations-support","Back-office and operational broker support.","layers"
"serviceAreas-fraud-detection-systems","Fraud Detection Systems","fraud-detection-systems","Identity validation and transaction fraud detection.","alert-triangle"
"serviceAreas-vendor-spend-optimisation","Vendor Spend Optimisation","vendor-spend-optimisation","Tracks ROI and usage of external software and vendors.","wallet"
"serviceAreas-linkedin-authority","LinkedIn Authority","linkedin-authority","LinkedIn personal branding and authority content strategy.","linkedin"
"serviceAreas-team-training","Team Training","team-training","Upskilling operations, sales and support teams.","graduation-cap"
"serviceAreas-high-performance-psychology","High-Performance Psychology","high-performance-psychology","Psychological performance coaching.","award"
"serviceAreas-cloud-infrastructure","Cloud Infrastructure","cloud-infrastructure","Cloud servers, hosting, virtual desktops and cloud operations.","cloud"
"serviceAreas-ai-automations","AI & Automations","ai-automations","AI-powered workflows, automation systems, lead scoring and intelligent operations.","sparkles"
"serviceAreas-crm-design","CRM Design","crm-design","Custom CRM design tailored to broker workflows and client journeys.","layout-dashboard"
"serviceAreas-media-training","Media Training","media-training","Interview skills, on-camera training and PR readiness.","video"
"serviceAreas-loan-processing-offshore","Loan Processing (Offshore)","loan-processing-offshore","Offshore loan processing and back-office support.","globe"
"serviceAreas-bookkeeping","Bookkeeping","bookkeeping","Daily financial records and transaction management.","book"
"serviceAreas-crm-optimisation","CRM Optimisation","crm-optimisation","Improving existing CRM performance, data structure and automation logic.","settings"
"serviceAreas-exit-succession-planning","Exit & Succession Planning","exit-succession-planning","Business sale, succession and exit readiness.","flag"
"serviceAreas-seo","SEO","seo","Search engine optimisation to improve organic rankings and visibility.","search"
"serviceAreas-voip-communications","VoIP & Communications","voip-communications","Phone systems, unified communications and call tracking.","phone"
"serviceAreas-paid-ads","Paid Ads (Google, Meta, YouTube)","paid-ads","Paid digital advertising campaigns for lead generation and brand growth.","target"
"serviceAreas-cybersecurity","Cybersecurity","cybersecurity","IT security, ransomware protection, monitoring and threat detection.","shield"
"serviceAreas-backup-disaster-recovery","Backup & Disaster Recovery","backup-disaster-recovery","Data backup, business continuity and disaster recovery systems.","hard-drive"
"serviceAreas-loan-processing-onshore","Loan Processing (Onshore)","loan-processing-onshore","Australia-based loan processing services.","home"
"serviceAreas-document-collection-verification","Document Collection & Verification","document-collection-verification","Client document collection and ID verification.","scan"
"serviceAreas-productivity-suites","Microsoft 365 / Google Workspace","productivity-suites","Email, document systems, collaboration tools and productivity suites.","briefcase"
"serviceAreas-funnels-landing-pages","Funnels & Landing Pages","funnels-landing-pages","Sales funnels, landing pages and lead capture systems.","trending-up"
"serviceAreas-cro","Conversion Rate Optimisation (CRO)","cro","Improving website and funnel conversion through testing and optimisation.","percent"
"serviceAreas-sales-training","Sales Training","sales-training","Sales skill development, pipeline management and revenue growth.","dollar-sign"
"serviceAreas-thought-leadership","Thought Leadership","thought-leadership","Expert positioning and authority-building content strategies.","award"
"serviceAreas-social-media-marketing","Social Media Marketing","social-media-marketing","Social strategy, posting, community and audience building.","share-2"
"serviceAreas-referral-systems","Referral Systems","referral-systems","Referral marketing infrastructure and joint venture strategies.","repeat"
"serviceAreas-reputation-reviews","Reputation & Reviews","reputation-reviews","Review generation, testimonial systems and online reputation.","star"
"serviceAreas-public-speaking","Public Speaking","public-speaking","Keynote speaking, stage confidence and authority positioning.","megaphone"
"serviceAreas-video-podcast-production","Video & Podcast Production","video-podcast-production","End-to-end video and podcast content creation.","film"
"serviceAreas-database-reactivation","Database Reactivation","database-reactivation","Re-engaging dormant leads through email, SMS and automation.","refresh-cw"
"serviceAreas-presentation-skills","Presentation Skills","presentation-skills","Public presentation, pitching and speaking confidence.","mic"
"serviceAreas-influencer-partnerships","Influencer & Partnership Marketing","influencer-partnerships","Influencer, brand partnerships and collaborative marketing.","users"
"serviceAreas-objection-handling-closing","Objection Handling & Closing","objection-handling-closing","Techniques to handle objections and close deals effectively.","check-circle"
"serviceAreas-founder-accountability","Founder Accountability","founder-accountability","Strategic accountability and execution coaching.","target"
"serviceAreas-anxiety-reduction","Anxiety Reduction","anxiety-reduction","Managing stress and anxiety for performance.","brain"
"serviceAreas-brand-messaging","Brand Messaging","brand-messaging","Core messaging, positioning and narrative development.","message-circle"
"serviceAreas-lender-policy-support","Lender Policy Support","lender-policy-support","Lender guidelines and policy expertise.","book-open"
"serviceAreas-tax-strategy","Tax Strategy","tax-strategy","Optimising tax structures and compliance.","receipt"
"serviceAreas-recruitment","Recruitment","recruitment","Hiring brokers, processing staff and admin teams.","user-plus"
"serviceAreas-settlement-processing","Settlement Processing","settlement-processing","Managing loan settlements and lender coordination.","calendar"
"serviceAreas-financial-strategy","Financial Strategy","financial-strategy","Long-term financial planning and structure.","compass"
"serviceAreas-privacy-data-security","Privacy & Data Security","privacy-data-security","Client data protection and privacy frameworks.","lock"
"serviceAreas-professional-indemnity-insurance","Professional Indemnity Insurance","professional-indemnity-insurance","Insurance protection for brokers and advisors.","umbrella"
"serviceAreas-cashflow-forecasting","Cashflow Forecasting","cashflow-forecasting","Financial forecasting and cashflow visibility.","line-chart"
"serviceAreas-business-valuations","Business Valuations","business-valuations","Valuing broker and finance businesses.","badge-dollar-sign"
"serviceAreas-profit-optimisation","Profit Optimisation","profit-optimisation","Improving margins and business profitability.","trending-up"
"serviceAreas-virtual-cfo","Virtual CFO","virtual-cfo","Strategic finance leadership without in-house CFO.","pie-chart"
"serviceAreas-audits-qa","Audits & QA","audits-qa","Quality assurance audits and compliance reviews.","check-square"
"serviceAreas-broker-compliance","Broker Compliance","broker-compliance","Regulatory compliance for mortgage and finance brokers.","shield"
"serviceAreas-offshore-staffing","Offshore Staffing","offshore-staffing","Building offshore support teams.","globe"
"serviceAreas-white-label","White Label","white-label","Fully rebrandable software for resellers and partners.","paintbrush"
"serviceAreas-afsl-credit-licence","AFSL & Credit Licence Support","afsl-credit-licence","Licensing setup and regulatory support.","id-card"
"serviceAreas-leadership-development","Leadership Development","leadership-development","Developing leaders and executives.","crown"
"serviceAreas-overthinking-procrastination","Overthinking & Procrastination","overthinking-procrastination","Breaking mental performance blocks.","repeat"
"serviceAreas-trust-structures-asset-protection","Trust Structures & Asset Protection","trust-structures-asset-protection","Legal structures to protect assets and income.","safe"
"serviceAreas-focus-productivity","Focus & Productivity","focus-productivity","Improving concentration and output.","zap"
"serviceAreas-repricing-retention-campaign-tools","Repricing & Retention Campaign Tools","repricing-retention-campaign-tools","Campaign systems to prevent churn and retain clients.","refresh-cw"
"serviceAreas-zero-trust-security","Zero Trust Security","zero-trust-security","Continuous verification security model.","lock"
"serviceAreas-burnout-nervous-system","Burnout & Nervous System Regulation","burnout-nervous-system","Nervous system recovery and sustainable performance.","activity"
"serviceAreas-team-task-management","Team Task Management","team-task-management","Internal task tracking and workload visibility.","check-square"
"serviceAreas-emotional-intelligence","Emotional Intelligence","emotional-intelligence","Emotional awareness and leadership intelligence.","smile"
"serviceAreas-software-platform","Software Platform","software-platform","Core web-based software platform delivered as a service (SaaS).","layout-grid"
"serviceAreas-data-export-portability","Data Export & Portability","data-export-portability","Exporting data between platforms for reporting or migration.","download"
"serviceAreas-identity-confidence-work","Identity & Confidence Work","identity-confidence-work","Founder confidence, identity and visibility work.","user"
"serviceAreas-api-access","API Access","api-access","Developer access to programmatic integrations and external systems.","code"
"serviceAreas-data-sync-webhooks","Data Sync & Webhooks","data-sync-webhooks","Real-time data syncing between systems using webhooks and integrations.","refresh-ccw"
"serviceAreas-software-backup-recovery","Backup & Recovery (Software)","software-backup-recovery","Automated backups and software disaster recovery.","hard-drive"
"serviceAreas-audit-trail-reporting","Audit Trail Reporting","audit-trail-reporting","Immutable logs of actions for regulator-ready audits.","file-check"
"serviceAreas-user-access-permissions","User Access & Permissions","user-access-permissions","Role-based access control and user permission management.","users"
"serviceAreas-subscription-billing","Subscription Billing","subscription-billing","Built-in recurring billing, invoicing, and payment management.","credit-card"
"serviceAreas-calendar-sync","Calendar Sync","calendar-sync","Two-way syncing between software platforms and calendar providers to automatically map meetings, appointments, and follow-ups to client records.","calendar-check"
"serviceAreas-usage-analytics","Usage Analytics","usage-analytics","Tracking of feature usage, user behavior, and adoption metrics.","bar-chart-3"
"serviceAreas-multi-tenant-architecture","Multi-Tenant Architecture","multi-tenant-architecture","One platform supporting multiple businesses, teams, or clients.","layers"
"serviceAreas-email-sync","Email Sync","email-sync","Two-way syncing of emails between software platforms and email providers to automatically log communications, enable compliance records, and streamline client management.","mail-check"
