_id,title,slug,description,icon
"directoryCategory-marketing-automation","Marketing Automation","marketing-automation","CRM-based marketing systems including GoHighLevel, lead nurturing, campaigns, and database automation.","workflow"
"directoryCategory-organic-traffic-seo-content","Organic Social Traffic","organic-traffic-seo-content","Search engine optimisation, blogging, website optimisation, and organic social growth strategies.","trending-up"
"directoryCategory-compliance-risk-legal","Compliance, Risk & Legal","compliance-risk-legal","Regulatory compliance, audits, privacy, professional indemnity, AFSL support and legal protection.","shield-check"
"directoryCategory-crm-document-collection","CRM & Document Collection","crm-document-collection","Client management platforms and document collection tools that streamline customer onboarding, data capture, compliance, and ongoing relationship management.","database"
"directoryCategory-virtual-assistants-outsourcing","Virtual Assistants & Outsourcing","virtual-assistants-outsourcing","Offshore staffing, broker assistants, admin support, processing support and back-office teams.","users"
"directoryCategory-workflow-design","AI & Workflow Design","ai-workflow-design","Business workflow mapping, CRM design, SOP creation, system architecture and operations optimisation.","git-branch"
"directoryCategory-paid-advertising","Paid Advertising","paid-advertising","Performance-based advertising across Google, Meta, YouTube and other paid digital channels.","target"
"directoryCategory-it-support","IT Support & Cyber Security","it-support","Managed IT services, cybersecurity, cloud infrastructure, hardware, and technical support for broker businesses.","server"
"directoryCategory-brand-media","Brand & Media","brand-media","Brand strategy, messaging, PR, podcasting, video production and founder positioning.","megaphone"
"directoryCategory-public-speaking-authority","Public Speaking & Authority","public-speaking-authority","Presentation skills, keynote speaking, on-camera confidence and public authority training.","mic"
"directoryCategory-sales-training","Sales Training","sales-training","Sales systems, objection handling, discovery skills, closing frameworks and revenue optimisation.","dollar-sign"
"directoryCategory-loan-processing-credit-support","Loan Processing & Credit Support","loan-processing-credit-support","Credit assessments, deal packaging, document review, lender policy support and settlement processing.","file-text"
"directoryCategory-admin-ops","Admin & Ops","admin-ops","Inbox, Team Software and Communications","laptop"
"directoryCategory-mindset-performance","Mindset & Performance","mindset-performance","Psychology, emotional intelligence, burnout recovery, and high-performance mindset coaching.","brain"
"directoryCategory-broker-coaching","Broker Coaching","broker-coaching","Specialist coaching for mortgage, asset and finance brokers focused on growth, leadership and scale.","briefcase"
"directoryCategory-accounting-tax","Accounting & Tax","accounting-tax","Bookkeeping, financial reporting, BAS, tax compliance and accounting services for brokers.","calculator"
"directoryCategory-finance-strategy-virtual-cfo","Finance Strategy & Virtual CFO","finance-strategy-virtual-cfo","Financial forecasting, strategy, cashflow management, profit optimisation and exit planning.","line-chart"
"directoryCategory-client-experience-retention","Client Experience & Retention","client-experience-retention","Client onboarding, retention programs, education platforms, portals and community engagement.","heart"
"directoryCategory-recruitment-team-building","Recruitment & Team Building","recruitment-team-building","Broker recruitment, offshore staffing, team structure, leadership development and performance culture.","user-plus"
"directoryCategory-asset-software","Asset Software","asset-software","Platforms supporting asset finance such as vehicle, equipment, and personal loans, including quoting, approvals, settlements, and asset tracking.","car"
"directoryCategory-data-reports","Data & Reporting","data-reports","Track and measure your lead growth and opportunities create dashboards and reports","bar-chart"
"directoryCategory-mortgage-software","Mortgage Software","mortgage-software","Software designed for residential mortgage brokers including deal origination, servicing, submissions, lender integrations, compliance, and workflow automation.","home"
"directoryCategory-commercial-software","Commercial Software","commercial-software","Software built for commercial and business lending including complex deals, trust structures, multi-entity borrowers, cashflow analysis, and lender management.","building-2"
"directoryCategory-other-software","Other","other-software","Supporting or niche software that doesn’t fit into any of the core categories, including analytics, compliance, reporting, AI tools, cybersecurity, integrations, and productivity apps.","grid"
"56650d54-5451-4290-a816-a9093a980a34","GoHighLevel","gohighlevel","",""
