_id,title,slug,category,description,icon
"worksWith-gohighlevel","GoHighLevel","gohighlevel","CRM","All-in-one CRM with marketing automation and funnels.","kanban"
"worksWith-google-drive","Google Drive","google-drive","Documents & Storage","Cloud file storage and document collaboration.","cloud"
"worksWith-xero","Xero","xero","Payments & Accounting","Cloud accounting platform for SMEs (AU preferred).","calculator"
"worksWith-openai","OpenAI","openai","Data & AI","AI models for chat, OCR, automation and enrichment.","bot"
"worksWith-hubspot","HubSpot","hubspot","CRM","Enterprise CRM for sales, marketing, and service.","hub"
"worksWith-jotform","Jotform","jotform","Forms & Intake","Powerful form builder with workflow automations.","clipboard-list"
"worksWith-google-forms","Google Forms","google-forms","Forms & Intake","Simple surveys and data collection via Google.","form"
"worksWith-stripe","Stripe","stripe","Payments & Accounting","Online payments and subscription billing platform.","credit-card"
"worksWith-n8n","n8n","n8n","Automation","Open-source workflow automation for developers.","nodes"
"worksWith-equifax","Equifax","equifax","Compliance & ID","Credit reporting and borrower verification.","shield-check"
"worksWith-illion","Illion","illion","Compliance & ID","Australian commercial and consumer credit bureau.","shield"
"worksWith-zipid","ZipID","zipid","Compliance & ID","Australia Post digital identity verification.","user-check"
"worksWith-pipedrive","Pipedrive","pipedrive","CRM","Sales-focused CRM built for pipeline tracking.","activity"
"worksWith-tray-io","APIs","tray-io","Automation","Direct system-to-system integrations using REST, GraphQL and webhooks for real-time data exchange and custom workflows.","workflow"
"worksWith-square","Square","square","Payments & Accounting","POS and digital payments ecosystem.","terminal"
"worksWith-paypal","PayPal","paypal","Payments & Accounting","Global digital payments and wallet platform.","banknote"
"worksWith-chameleon-creator","Chameleon","chameleon-creator","Technology","Learning design software.","lizard"
"worksWith-zapier","Zapier","zapier","Automation","No-code automation platform connecting 6,000+ apps.","zap"
"worksWith-dropbox","Dropbox","dropbox","Documents & Storage","Secure cloud file sync and sharing platform.","cloud"
"worksWith-myob","MYOB","myob","Payments & Accounting","Australian accounting and payroll software.","bank"
"worksWith-strapi","Strapi","strapi","CMS & Frontend","Open-source headless CMS.","boxes"
"worksWith-glass-guide","Glass’s Guide","glass-guide","Property & Asset Data","Vehicle pricing and valuation data.","car"
"worksWith-make","Make","make","Automation","Advanced visual automation with logic and branching.","shuffle"
"worksWith-twilio","Twilio","twilio","Communication & Marketing","SMS, WhatsApp, and voice communications API.","message-square"
"worksWith-airtable","Airtable","airtable","Data & AI","Spreadsheet-database hybrid for ops and automation.","table"
"worksWith-notion","Notion","notion","Data & AI","Knowledge base and productivity workspace.","notebook"
"worksWith-salesforce","Salesforce","salesforce","CRM","Global enterprise CRM and data platform.","cloud"
"worksWith-typeform","Typeform","typeform","Forms & Intake","Conversational forms for client intake and surveys.","form-input"
"worksWith-tally","Tally","tally","Forms & Intake","Lightweight modern form builder for SaaS products.","list-check"
"worksWith-slack","Slack","slack","Communication & Marketing","Internal team communication and notifications.","hash"
"worksWith-mailchimp","Mailchimp","mailchimp","Communication & Marketing","Email campaigns and marketing automation platform.","mail"
"worksWith-webflow","Webflow","webflow","CMS & Frontend","No-code website and CMS builder.","layout"
"worksWith-experian","Experian","experian","Compliance & ID","Global identity and credit verification provider.","shield"
"worksWith-pricefinder","PriceFinder","pricefinder","Property & Asset Data","Residential property pricing and history.","search"
"worksWith-zoho-crm","Zoho CRM","zoho-crm","CRM","SME-friendly CRM with automation and reporting.","layout"
"worksWith-dropbox-sign","Dropbox Sign","dropbox-sign","Documents & Storage","Digital document signing with Dropbox integration.","file-check"
"worksWith-docusign","DocuSign","docusign","Documents & Storage","Secure electronic document signing platform.","file-signature"
"worksWith-activecampaign","ActiveCampaign","activecampaign","Communication & Marketing","Email marketing and automation platform.","mail"
"worksWith-adobe-sign","Adobe Sign","adobe-sign","Documents & Storage","Enterprise-grade digital signature platform.","file-text"
"worksWith-corelogic-rpdata","CoreLogic RP Data","corelogic-rpdata","Property & Asset Data","Real-time property data and valuations.","map"
"worksWith-messagemedia","MessageMedia","messagemedia","Communication & Marketing","Australian A2P SMS and messaging platform.","message-circle"
"worksWith-supabase","Supabase","supabase","Data & AI","Open-source backend with Postgres, auth, storage.","database"
"worksWith-firebase","Firebase","firebase","Data & AI","Google’s realtime database and authentication stack.","flame"
"worksWith-wordpress","WordPress","wordpress","CMS & Frontend","CMS for blogs, directories and websites.","globe"
"worksWith-sanity","Sanity","sanity","CMS & Frontend","Headless CMS for structured content and APIs.","cube"
"worksWith-nextjs","Next.js","nextjs","CMS & Frontend","React framework for front-end and APIs.","code"
"worksWith-carsales-api","Carsales API","carsales-api","Property & Asset Data","Vehicle listings and data integration.","car"
"worksWith-greenid","GreenID","greenid","Compliance & ID","Digital identity verification (Australia).","id-card"
"worksWith-mycrm-lmg","MyCRM","mycrm-lmg","Aggregator Software","LMG Lead Management Platform.","dot"
"worksWith-redbook","Redbook","redbook","Property & Asset Data","Automotive pricing and specifications.","book"
"worksWith-middle-finsure","Middle","middle-finsure","Aggregator Software","Finsure's Lead Management.","triangle"
"worksWith-rea-api","Realestate.com.au API","rea-api","Property & Asset Data","Property listings and market data.","home"
"worksWith-vibe-coding","Vibe Coding","vibe-coding","Technology","Various online AI supported coding platforms, including but not limited to Cursor, Antigravity, Base44, Loveable.","waves"
"worksWith-mercury-connective","Mercury","mercury-connective","Aggregator Software","Connective's CRM.","square"
"worksWith-quickli-calculator","Quickli","quickli-calculator","Mortgage Software","Australian serviceability calculator.","calculator"
"worksWith-video-ask","VideoAsk","video-ask","Technology","Video lead magnet widget.","video"
"b3c1f351-6524-4d87-8302-74c1ca63ab95","Mercury","mercury-connective","Sales & Client Onboarding","Connective's CRM.",""
"9e5ea5e6-de79-4818-b463-f7c363d5fbf4","Salesforce","salesforce","Sales & Client Onboarding","Global enterprise CRM and data platform.",""
"f395d3ca-cdc9-455d-9f7e-6369cb3f6c5a","Notion","notion","Client Retention & Education","Knowledge base and productivity workspace.",""
"932a2d7e-6526-496b-9fac-fbf50062b55d","Webflow","webflow","Technology & Systems","No-code website and CMS builder.",""
