_id,title,slug,listingType,category,supabaseId,tagline,description,websiteURL,brokerType,features,pricingType,pricingStartingFrom,pricingNotes,serviceAreas,worksWith,similarTo,serviceProviders,author,editorNotes,metaDescription,synonyms,isFeatured,badges
"imported-software-million-verifier","MillionVerifier","million-verifier","listingType-software","c46f5fc0-6cd1-4df3-b893-23e1298878bc","","Affordable bulk email verifier","Budget-friendly email list verification service","https://millionverifier.com","Mortgage|Asset|Commercial","","pay-as-you-go","","","","","","","","","","email list cleaning|bulk email verification","false",""
"imported-software-1password","1Password","1password","listingType-software","439ced47-b17c-460d-b0c1-a1b09d265c0d","","Protect your digital life","Secure password manager for teams and individuals.","https://1password.com","Mortgage|Asset Finance|Commercial","","subscription","","","","","","","","","","","false",""
"directoryListing-workswith-adobe-sign","Adobe Sign","adobe-sign","software","7fae197f-cd87-4bea-a70e-8ee35ca58ca6","","","Enterprise-grade digital signature platform.","","","","","","","","","","","","","Enterprise-grade digital signature platform.","enterprise e-signature|digital signing","false",""
"directoryListing-workswith-airtable","Airtable","airtable","software","7fae197f-cd87-4bea-a70e-8ee35ca58ca6","","","Spreadsheet-database hybrid for ops and automation.","","","","","","","","","","","","","Spreadsheet-database hybrid for operations.","no-code database|ops database","false",""
"directoryListing-workswith-salesforce","Salesforce","salesforce","listingType-software","3d66e81e-eecd-4b77-8288-71272c13ffc5","","","Global enterprise CRM and data platform.","","","","","","","","","","","","","Global enterprise CRM and data platform.","enterprise CRM|customer data platform","false",""
"listing-service-learn-awesome","Learn Awesome","learn-awesome","service","category-broker-industry-tools","","Help you become a local community hero","Learn Awesome helps companies and experts create interactive, engaging, and memorable learning experiences that drive long-term customer retention and activate thriving local communities.","https://learnawesome.com.au/","Mortgage|Asset Finance|Commercial","","","","","serviceArea-client-retention|serviceArea-course-learning-design|serviceArea-public-speaking|serviceArea-community-building","listing-software-chameleon|listing-software-gohighlevel|listing-software-videoask|listing-software-pabbly","","","","","","","false",""
"listing-software-google-my-business","Google My Business","google-my-business","software","category-marketing-growth-platforms","","","","","","","","","","","","","","","","","","false",""
"listing-software-meta-ads","Meta Ads","meta-ads","software","category-marketing-growth-platforms","","","","","","","","","","","","","","","","","","false",""
"listing-service-broker-coach","Broker Coach","broker-coach","service","category-broker-industry-tools","","Build a mortgage business that actually scales","Broker Coach provides specialist coaching for mortgage brokers focused on business structure, time leverage, leadership, and predictable growth—without sacrificing lifestyle.","https://brokercoach.com.au/","Mortgage","","","","","serviceArea-mortgage-business-coaching|serviceArea-systems-scaling|serviceArea-time-leverage|serviceArea-team-building|serviceArea-content-marketing","","","","","","","","false",""
"listing-software-elasticsearch","Elasticsearch","elasticsearch","software","category-data-monitoring","","","","","","","","","","","","","","","","","","false",""
"listing-service-emily-diamond","Emily Diamond Coaching","emily-diamond","service","category-broker-industry-tools","","Build the business. Become the leader.","Emily Diamond Coaching supports founders and business owners to scale sustainably through mindset, leadership development, and strategic alignment—bridging performance with personal evolution.","https://linktr.ee/emilythediamond","Mortgage|Asset Finance|Commercial","","","","","serviceArea-identity-confidence-work|serviceArea-emotional-intelligence|serviceArea-burnout-nervous-system-regulation|serviceArea-founder-alignment","","","","","","","","false",""
"listing-software-webflow","Webflow","webflow","software","category-website","","","","","","","","","","","","","","","","","","false",""
"listing-software-ontraport","Ontraport","ontraport","software","category-marketing-growth-platforms","","","","","","","","","","","","","","","","","","false",""
"listing-software-videoask","VideoAsk","videoask","software","category-video-ux-feedback-tools","","Face-to-face forms & funnels","Asynchronous video Q&A and conversational forms used for lead capture and onboarding","https://www.videoask.com","Mortgage|Asset Finance|Commercial","","subscription","","","","","","","","","","","false",""
"listing-software-slack","Slack","slack","software","category-collaboration-communication","","","","","","","","","","","","","","","","","","false",""
"listing-software-makecom","Make.com","makecom","software","category-automation-integration-platforms","","Visually build advanced workflows","Scenario-based no/low-code integration and automation platform","https://www.make.com","Mortgage|Asset Finance|Commercial","","freemium","","","","","","","","","","","false",""
"listing-software-pabbly","Pabbly","pabbly","software","category-automation-integration-platforms","","","","","","","","","","","","","","","","","","false",""
"listing-software-chameleon","Chameleon","chameleon","software","category-learning-design-course-content","","","","","","","","","","","","","","","","","","false",""
"listing-software-skool","Skool","skool","software","category-learning-design-course-content","","","","","","","","","","","","","","","","","","false",""
"listing-service-pronarrative","ProNarrative","pronarrative","service","category-broker-industry-tools","","Where your story becomes your strategy.","ProNarrative helps brands craft powerful messaging, positioning, and thought-leadership content that connects with audiences and drives action. They specialise in strategic storytelling for founders, experts, and purpose-led businesses.","https://pronarrative.com.au/","Mortgage|Asset Finance|Commercial","","","","","serviceArea-seo|serviceArea-google-ads|serviceArea-meta-ads|serviceArea-content-marketing|serviceArea-conversion-rate-optimisation-cro|serviceArea-brand-messaging","listing-software-google-ads|listing-software-meta-ads|listing-software-ontraport","","","","","","","false",""
"listing-service-stephen-soo","Stephen Soo Coaching","stephen-soo","service","category-broker-industry-tools","","Lead with clarity. Execute with confidence","Stephen Soo Coaching helps brokers and executives simplify strategy, strengthen leadership, and implement systems that drive consistent growth without burnout.","https://stephensoocoaching.com/","Mortgage","","","","","","","","","","","","","false",""
"listing-service-auctus-coaching","Auctus Coaching","auctus-coaching","service","category-broker-industry-tools","","Growth, built from the inside out","Auctus Coaching works with founders and teams to unlock sustainable growth through leadership development, performance coaching, and high-trust organisational strategy","https://auctuscoaching.au/","Mortgage","","","","","serviceArea-leadership-development|serviceArea-team-performance|serviceArea-culture-building|serviceArea-strategic-growth|serviceArea-sop-creation-documentation","listing-software-salestrekker|listing-software-activepipe|listing-software-effi","","","","","","","false",""
"listing-service-systemology","Systemology","systemology","service","category-broker-industry-tools","","Replace yourself with systems","Systemology helps business owners extract critical processes, build operational playbooks, and scale without chaos—turning founder-dependent businesses into process-driven machines.","https://www.systemology.com/","Mortgage|Asset Finance|Commercial","","","","","serviceArea-workflow-mapping|serviceArea-sop-creation-documentation|serviceArea-process-automation|serviceArea-team-training","","","","","","","","false",""
"listing-service-it-zen","IT Zen","it-zen","service","category-broker-industry-tools","","Calm, secure technology for modern business","IT Zen is an IT and cybersecurity provider focused on creating calm, secure, and high-performing technology environments for modern businesses. Based in Launceston, they deliver tailored IT support, cloud solutions, cybersecurity, and proactive monitoring to reduce noise, prevent downtime, and improve productivity around Australia. With a people-first approach and a focus on simplicity, IT Zen helps organisations stay balanced, protected, and confidently supported as they grow.","https://www.itzen.com.au/","Mortgage|Asset Finance|Commercial","","","","","serviceArea-managed-it|serviceArea-cybersecurity|serviceArea-productivity-systems|serviceArea-remote-support|serviceArea-business-it-strategy","","","","","","","","false",""
"listing-software-activecampaign","ActiveCampaign","activecampaign","software","category-marketing-growth-platforms","","Customer experience automation","Email and CRM platform combining automations, pipelines and messaging","https://activecampaign.com","Mortgage|Asset Finance|Commercial","","subscription","","","","","","","","","","","false",""
"listing-software-hubspot","HubSpot","hubspot","software","category-crm","","All-in-one CRM, marketing & sales","CRM platform with marketing, sales and service hubs for SMEs and enterprises","https://hubspot.com","Mortgage|Asset Finance|Commercial","","freemium","","","","","","","","","","","false",""
"listing-software-wordpress","WordPress","wordpress","software","category-website","","Open-source CMS","Popular open-source content management system","https://wordpress.org","Mortgage|Asset Finance|Commercial","","subscription","","","","","","","","","","","false",""
"listing-service-vahler-media","Vahler Media","vahler-media","service","category-broker-industry-tools","","Performance marketing without the fluff","Vahler Media is a results-driven digital marketing agency specialising in paid media, funnels, and growth campaigns for service-based and online businesses. They focus on data-backed strategies that turn traffic into measurable revenue—not vanity metrics.","https://www.valhermedia.com/","Mortgage|Asset Finance|Commercial","","","","","serviceArea-google-ads|serviceArea-meta-ads|serviceArea-funnels|serviceArea-conversion-optimisation|serviceArea-ai-automations","listing-software-webflow|listing-software-google-ads|listing-software-meta-ads|listing-software-google-analytics","","","","","","","false",""
"listing-software-google-workspace","Google Workspace","google-workspace","software","category-core-business","","","","","","","","","","","","","","","","","","false",""
"listing-software-microsoft-365","Microsoft 365","microsoft-365","software","category-core-business","","","","","","","","","","","","","","","","","","false",""
"listing-software-zapier","Zapier","zapier","software","category-automation-integration-platforms","","Connect your apps, automate workflows","No-code automation platform connecting thousands of SaaS tools","https://zapier.com","Mortgage|Asset Finance|Commercial","","freemium","","","","","","","","","","","false",""
"listing-software-google-ads","Google Ads","google-ads","software","category-marketing-growth-platforms","","","","","","","","","","","","","","","","","","false",""
"listing-service-bolder-digital","BolderDigital","bolder-digital","service","category-broker-industry-tools","","Your client follow up 24x7","Bolder Digital build automations that manages customer conversations and books appointments across multiple channels without human involvement, streamlining the entire customer interaction process.","https://bolderdigital.com.au/","Mortgage|Asset Finance|Commercial","","","","","serviceArea-crm-setup|serviceArea-marketing-automation|serviceArea-lead-nurture|serviceArea-ai-automations|serviceArea-funnels|serviceArea-google-my-business-reviews","listing-software-gohighlevel|listing-software-wordpress","","","","","","","false",""
"listing-software-openobserve","OpenObserve","openobserve","software","category-data-monitoring","","","","","","","","","","","","","","","","","","false",""
"listing-service-milex-technology","Milex Technology","milex-technology","service","category-broker-industry-tools","","IT that works as hard as you do","Milex is a technology services provider based in Sydney, delivering managed IT, cybersecurity, cloud infrastructure, and business systems support. They help organisations simplify technology, strengthen security, and scale with confidence through proactive support, tailored solutions, and strategic IT advisory. Milex partners with growing businesses to improve performance, reduce risk, and future-proof operations with reliable, high-impact technology.","https://milex.com.au/","Mortgage|Asset Finance|Commercial","","","","","serviceArea-managed-it|serviceArea-cybersecurity|serviceArea-cloud-infrastructure|serviceArea-voip-systems|serviceArea-remote-support","listing-software-microsoft-azure|listing-software-microsoft-365","","","","","","","false",""
"listing-service-crisp-communications","Crisp Communications & Marketing","crisp-communications","service","category-broker-industry-tools","","Clear messaging. Stronger growth.","Crisp Communications & Marketing helps businesses sharpen their brand voice, build authority, and drive engagement through strategic marketing, PR, and communication frameworks designed for long-term brand equity.","https://crispcomms.co/","Mortgage|Asset Finance|Commercial","","","","","serviceArea-public-relations|serviceArea-brand-messaging|serviceArea-marketing-strategy|serviceArea-content-strategy|serviceArea-communications-planning","listing-software-wordpress|listing-software-google-my-business","","","","","","","false",""
"listing-service-penhaligon-applied-psychology","Penhaligon Applied Psychology","penhaligon-applied-psychology","service","category-broker-industry-tools","","Get real change, real fast.","Penhaligon Applied Psychology helps high performers stop overthinking, procrastinating, and stressing themselves out using practical psychology methods that reduce burn-out and unlock peak performance.","https://www.penhaligons.com.au/","Mortgage|Asset Finance|Commercial","","","","","serviceArea-anxiety-reduction|serviceArea-overthinking-procrastination|serviceArea-focus-productivity|serviceArea-high-performance-psychology","","","","","","","","false",""
"listing-service-b2b-school","B2B School","b2b-school","service","category-broker-industry-tools","","Build authority. Collect Leads. Close Faster","B2B School is an education platform for consultants, agencies, and B2B service providers looking to systemise their business, sharpen their offers, and scale profitably with repeatable growth frameworks.","https://b2bschool.co/home","Mortgage|Asset Finance|Commercial","","","","","serviceArea-b2b-sales-training|serviceArea-offer-design|serviceArea-sales-systems|serviceArea-lead-conversion|serviceArea-business-scaling|serviceArea-organic-traffic","listing-software-gohighlevel|listing-software-wordpress|listing-software-skool","","","","","","","false",""
"listing-software-salestrekker","SalesTrekker","salestrekker","software","category-broker-industry-tools","","End-to-end broker CRM & LOS","Loan origination and CRM platform widely used by mortgage and finance brokers","https://salestrekker.com","Mortgage|Asset Finance|Commercial","","subscription","","","","","","","","","","","false",""
