_id,name,slug,category,tagline,description,websiteUrl,location,availability,brokerTypes,serviceAreas,features,pricingModel,pricingRangeMin,pricingRangeMax,pricingNotes,badges,reviews
"serviceProvider-commercial-finance-experts","Commercial Finance Experts","commercial-finance-experts","Commercial Finance","Complex deals, simplified.","We partner with brokers to structure and secure complex commercial and development finance deals, providing expertise and access to a wide panel of lenders.","https://cfexperts.com","Brisbane, QLD","Australia-wide","Commercial","Deal Structuring|Scenario Analysis","Deal Structuring|Scenario Analysis|Access to Private Lenders|Development Finance","project","","","","","[{""_key"":""review-1"",""author"":""John D."",""comment"":""Exceptional service and support. Highly recommended!"",""date"":""2023-10-15"",""helpfulCount"":0,""rating"":5,""verified"":false}]"
"serviceProvider-broker-boost","Broker Boost","broker-boost","Marketing","Amplify your brand and reach.","Specialists in branding and content creation for mortgage brokers, helping you stand out in a crowded market.","https://brokerboost.com","Perth, WA","","Mortgage|Asset Finance","Branding|Content|Video","Brand Identity Design|Video Marketing|Blog & Article Writing|Email Newsletters","project","","","","Rising Star","[{""_key"":""review-1"",""author"":""John D."",""comment"":""Exceptional service and support. Highly recommended!"",""date"":""2023-10-15"",""helpfulCount"":0,""rating"":5,""verified"":false},{""_key"":""review-2"",""author"":""Sarah P."",""comment"":""Very effective, though a bit pricey. The results speak for themselves."",""date"":""2023-09-22"",""helpfulCount"":0,""rating"":4,""verified"":false},{""_key"":""review-3"",""author"":""Mike T."",""comment"":""Good, but the onboarding process could be smoother."",""date"":""2023-11-01"",""helpfulCount"":0,""rating"":3,""verified"":false}]"
"serviceProvider-marketing-pro-au","Marketing Pro AU","marketing-pro-au","Marketing","Driving growth for Australian brokers.","A full-suite digital marketing agency specializing in lead generation, social media management, and SEO for the finance industry.","https://marketingproau.com","Sydney, NSW","Australia-wide","Mortgage|Asset Finance|Commercial","Lead Generation|SEO|Content|Social","Lead Generation Campaigns|SEO & Content Marketing|Social Media Management|PPC Advertising","retainer","1500","5000","","High Performer","[{""_key"":""review-1"",""author"":""John D."",""comment"":""Exceptional service and support. Highly recommended!"",""date"":""2023-10-15"",""helpfulCount"":12,""rating"":5,""verified"":true},{""_key"":""review-2"",""author"":""Sarah P."",""comment"":""Very effective, though a bit pricey. The results speak for themselves."",""date"":""2023-09-22"",""helpfulCount"":12,""rating"":4,""verified"":true},{""_key"":""review-3"",""author"":""Mike T."",""comment"":""Good, but the onboarding process could be smoother."",""date"":""2023-11-01"",""helpfulCount"":12,""rating"":3,""verified"":true}]"
"serviceProvider-admin-assist-plus","Admin Assist Plus","admin-assist-plus","Virtual Assistant","Focus on what you do best - selling.","Our team of experienced VAs integrates seamlessly with your existing workflow to provide top-tier administrative support.","https://adminassistplus.com","Adelaide, SA","","Mortgage","Loan Support|CRM|Compliance","Loan Application Support|CRM Management|Compliance Checks|General Admin","retainer","800","2500","","","[{""_key"":""review-2"",""author"":""Sarah P."",""comment"":""Very effective, though a bit pricey. The results speak for themselves."",""date"":""2023-09-22"",""helpfulCount"":0,""rating"":4,""verified"":false}]"
"serviceProvider-va-connect","VA Connect","va-connect","Virtual Assistant","Your reliable remote back-office support.","VA Connect provides highly-trained virtual assistants to handle administrative tasks, client communication, and appointment setting for busy brokers.","https://vaconnect.com","Melbourne, VIC","Australia-wide","Mortgage","Administration|Client Communication","Appointment Scheduling|Email & Calendar Management|Client Follow-ups|Data Entry","hourly","20","45","","","[{""_key"":""review-1"",""author"":""Sarah P."",""comment"":""Very effective, though a bit pricey. The results speak for themselves."",""date"":""2023-09-22"",""helpfulCount"":0,""rating"":4,""verified"":false},{""_key"":""review-2"",""author"":""Mike T."",""comment"":""Good, but the onboarding process could be smoother."",""date"":""2023-11-01"",""helpfulCount"":0,""rating"":3,""verified"":false}]"
"serviceProvider-beyond-cfo","Beyond CFO","beyond-cfo","directoryCategory-finance-strategy-virtual-cfo","Financial clarity beyond the balance sheet.","Beyond CFO delivers virtual CFO services for business owners who want real-time financial visibility, forecasting, cash-flow control, and strategic decision support—without hiring an internal finance team.","https://beyondcfo.com.au/","Brisbane, Online","","Mortgage|Asset|Commercial","Cash Flow Forecasting|Profit Optimisation|Financial Strategy|Business Valuations|Exit & Succession Planning","Fractional Support|Finance Strategist|Growth Support","","","","","Recommended Partner",""
"serviceProvider-mbj-tech","MBJ Tech","mbj-tech","directoryCategory-it-support","IT support you can count on","MBJ Technologies is an Australian-based technology services company specialising in managed IT, cybersecurity, cloud solutions, and business systems support. They help growing businesses stay secure, connected, and productive with tailored IT strategies, proactive monitoring, and responsive support. From networking and data protection to Microsoft 365 and cloud infrastructure, MBJ Technologies partners with organisations to streamline technology, reduce risk, and support scalable growth with reliable, people-first service.","https://www.mbjtech.com.au/","Sydney, Melbourne, Remote","","Mortgage|Asset|Commercial","Managed IT|Cybersecurity|Microsoft 365|Cloud Infrastructure|Helpdesk Support|Network Management","Packaged Services|CyberSecurity Focussed|Microsoft 365 Expert","","","","","Recommended Partner",""
"serviceProvider-broker-tools","Broker Tools","broker-tools","directoryCategory-workflow-design","Optimise the way you work","Broker Tools provides mortgage, asset, and commercial brokers a way to discover software, services, and AI automations to scale faster with less time.","https://brokertools.com.au/","Online","","Mortgage|Asset|Commercial","CRM Design|Client Journey Mapping|AI & Automations|System Integrations|Reporting Dashboards|Onboarding Automation","Human Workflow Design|AI SEO|Automations","","","","","Editor's Choice",""
"serviceProvider-huon-it","Huon IT","huon-it","directoryCategory-it-support","Secure. Scalable. Strategic.","Huon IT is an IT support, cybersecurity, cloud, and digital transformation solutions provider based in Australia backed by a globally recognised company. They work with mid-market and enterprise organisations to modernise infrastructure, protect data, and improve operational performance. With a strong focus on security, compliance, and strategic IT advisory, Huon IT partners with businesses to build resilient, scalable technology environments that support long-term growth.","https://huonit.com.au/","Sydney, Melbourne, Remote","","Mortgage|Asset|Commercial","Managed IT|Cybersecurity|Backup & Disaster Recovery|Cloud Services|Hardware Procurement","Proactive Monitoring|Managed IT Security|Backup & Recovery Ready","","","","","",""
"serviceProvider-crisp-communications","Crisp Communications & Marketing","crisp-communications","directoryCategory-organic-traffic-seo-content","Clear messaging. Stronger growth.","Crisp Communications & Marketing helps businesses sharpen their brand voice, build authority, and drive engagement through strategic marketing, PR, and communication frameworks designed for long-term brand equity.","https://crispcomms.co/","Brisbane, Online","","Mortgage|Asset|Commercial","Public Relations|Brand Messaging|Marketing Strategy|Content Strategy|Communications Planning","Clean & Clear Communications|Brand Book Guidelines|Marketing Strategist","","","","","Recommended Partner",""
