_id,title,slug,group,description,metaDescription,icon,synonyms
"5cdf2b3c-512b-4b11-b4c0-245b946e0932","Public Relations & Reviews","public-relations-reviews","","Earned media and reviews","Manage PR and reputation","","PR|reputation management"
"5322048d-4166-4d31-93bf-94ab416985e2","Document Collection & Verification","document-collection-verification","","Collect and verify documents","Secure document handling","","Document management|Upload Document Form"
"5d6d3a76-f829-409c-9e2b-640bb1b03956","Identity & Access Management (IAM)","identity-access-management","","Manages who can access systems and data","Control user identities and access securely","","IAM|access control|identity security"
"ed058fda-1b29-4ea1-8471-84d660db0c3e","Landing Page Builders (No-Code)","landing-page-builders","","Drag-and-drop landing page tools","Build landing pages without code","","No-code pages"
"33e79603-d83e-47f4-bfcc-6b3a65a1c323","Compliance Management (AFSL / Credit Licence)","compliance-management","","Regulatory compliance tools","Financial compliance management","","Compliance systems"
"aa02d1b8-25ae-4b98-9dea-994a79fc5c6e","Mobile Applications","mobile-applications","","Design and development of mobile apps","iOS and Android business applications","","Mobile apps|iOS apps|Android apps"
"f2d17d5c-2caa-4335-9a4d-60675233484c","CRM Design & Architecture","crm-design-architecture","","Structuring CRMs for data, workflows and growth","Design scalable CRM systems","","CRM setup|CRM systems"
"432a1516-8534-4a03-a188-e80391767f18","Opportunity & Pipeline Management","opportunity-pipeline-management","","Tracks deal stages and conversion progress","Visualise and manage sales pipelines","","Sales pipeline|opportunity tracking"
"40ddd418-a9e5-4d83-a0c5-a5a77bbfad1e","Audit Trails","audit-trails","","Logs of actions and changes","Track system changes","","Change logs|Risk Management|QA Logs"
"0c89ee10-8160-4106-9e80-a62ab4d50c6c","Project Management","project-management","","Tools and processes for projects","Manage projects and delivery","","PM tools"
"ec9b6fb3-9786-444b-9e23-c07a6776de7d","Credit Assessment Tools","credit-assessment-tools","","Credit decision tools","Assess borrower credit","","Credit scoring"
"d530e40b-72b2-49df-be7b-5f709adf8f1b","E-Signature & Consent Management","e-signature-consent-management","","Secure signing workflows","Digital signatures and consent","","E-signatures|Digital Sign"
"c2db7861-8a03-47c0-807b-85c11f65944a","Data Residency & Hosting Region","data-residency-hosting-region","","Ensures data is hosted in compliant geographic regions","Control where your data is stored and processed","","Data sovereignty|local hosting|regional hosting"
"7cb3b077-85ac-4d07-a20f-dbe24bee9b0d","Funnels & Landing Pages","funnels-landing-pages","","Design high-converting funnels","Conversion-focused funnels and pages","","Sales funnels"
"6ac89722-dd86-429a-97c2-1bbb8651bd57","Marketing Automation","marketing-automation","","Email, SMS and campaign automation","Automated marketing workflows","","Martech"
"19a916f2-8af3-4465-a852-222c9343620d","SOP Creation & Documentation","sop-creation-documentation","","Create operational documentation","Document standard processes","","SOPs"
"4b26f834-ef9d-4e91-93f8-90f2dd6c2ab9","System Uptime, Monitoring & Alerts","system-uptime-monitoring-alerts","","Tracks system health with alerts for outages or performance issues","Real-time monitoring to keep systems online","","Uptime monitoring|system alerts|observability"
"d5400867-a29b-4a7f-9001-e7f8c3413363","Fraud Detection & Prevention","fraud-detection-prevention","","Systems to identify suspicious behaviour and reduce risk","Detect and prevent fraudulent activity","","Fraud monitoring|anti-fraud"
"e8512ef1-f8c9-4f1d-99e9-7ae2e6589286","Smart Form Builders","smart-form-builders","","Dynamic and conditional forms","Intelligent form creation","","Form builders"
"0237a934-460b-4412-b424-957681fc69cc","System Integrations & APIs","system-integrations-apis","","Enables systems to share data automatically","Connect tools via APIs and integrations","","API integrations|system sync"
"2d3d67ee-8a16-49db-891a-1c8e87d2c3ec","Organic Marketing Strategy","organic-marketing-strategy","","Non-paid marketing approaches","Sustainable organic growth strategies","","Organic growth"
"19da5e42-07ff-4517-ae4c-94fdcbea829f","Thought Leadership Strategy","thought-leadership-strategy","","Content and presence for authority","Build authority in your industry","","Authority building"
"7949aff3-609f-4b9b-bb9e-91710a801ad8","Zero Trust Security","zero-trust-security","","Assumes no user or device is trusted by default","Secure systems with zero trust principles","","Zero trust model|ZTNA"
"e7d5a233-bd50-4441-bed9-d3fb0d28b63b","SOC 2 & Security Compliance","soc2-security-compliance","","Frameworks and audits for security governance","Meet SOC 2 and security compliance standards","","SOC 2|ISO 27001|compliance"
"b479313b-457e-4f0b-bbe1-af3164ee1595","AI & Intelligent Automation","ai-intelligent-automation","","Uses AI to automate decisions and tasks","AI-powered workflow automation","","AI automation|intelligent workflows"
"9fdc6c1b-aa83-462d-a6e3-5e1bdb96fe10","Cloud Infrastructure & Hosting","cloud-infrastructure-hosting","","Design, deployment and management of cloud servers, storage and environments","Secure cloud hosting and infrastructure management","","Cloud hosting|cloud servers|IaaS|cloud platforms"
"6f89cc74-6dc9-4ceb-9e3f-1d60b751ebe9","User Access & Permissions","user-access-permissions","","Fine-grained permission and role management","Control what users can see and do","","RBAC|permissions"
"5d4c03bb-a468-45d0-b253-96272e924d9a","Deal & Lead Management","deal-lead-management","","Manage prospects from enquiry to conversion","Track leads and deals efficiently","","Lead tracking|deal tracking"
"7baa0581-d92f-46d2-a11e-e6a8923eb6ae","Workflow Design","workflow-design","","Maps and optimises processes","Design efficient business workflows","","Workflow mapping|process design"
